title,journal,url,authors,doi,search_term,dataset_id
Izdelava in vzdrževanje digitalnega modela reliefa Slovenije z integracijo obstoječih virov : Production and Maintenance of Digital Elevation Model of Slovenia with Data Integration,Geodetski Vestnik,https://doaj.org/toc/0351-0271,"Mlinar, Jurij, Podobnikar, Tomaž",,Digital Elevation Model Data,dataset-631
"A new, high-resolution digital elevation model of Greenland fully validated with airborne laser altimeter data",,https://research-information.bris.ac.uk/en/publications/a-new-highresolution-digital-elevation-model-of-greenland-fully-validated-with-airborne-laser-altimeter-data(1f42af66-22fe-4c06-9031-c4d0b666980e).html,"Bamber, JL, Ekholm, S, Krabill, WB",10.1029/2000JB900365,Digital Elevation Model Data,dataset-631
EVALUATION DIGITAL ELEVATION MODEL GENERATED BY SYNTHETIC APERTURE RADAR DATA,The International Archives of the Photogrammetry,https://doaj.org/toc/2194-9034,"Makineci, H. B., Karabörk, H.",10.5194/isprs-archives-XLI-B1-57-2016,Digital Elevation Model Data,dataset-631
"Generation of a Digital Elevation Model of Mols Bjerge, Denmark, and Georeferencing of Airborne Scanner Data",,https://pure.au.dk/portal/da/publications/generation-of-a-digital-elevation-model-of-mols-bjerge-denmark-and-georeferencing-of-airborne-scanner-data(b4892e30-7e9c-11dd-a5a8-000ea68e967b).html,"Jacobsen, A., Drewes, N., Stjernholm, M., Balstrøm, T.",,Digital Elevation Model Data,dataset-631
CREATING DIGITAL ELEVATION MODEL USING A MOBILE DEVICE,,https://www.isprs-ann-photogramm-remote-sens-spatial-inf-sci.net/IV-4-W4/203/2017/,A. İ. Durmaz,10.5194/isprs-annals-IV-4-W4-203-2017,Digital Elevation Model Data,dataset-631
Visualization of a Digital Elevation Model,Data Science Journal,https://datascience.codata.org/jms/article/view/dsj.6.S481,"Linlin Lu, Huadong Guo",10.2481/dsj.6.S481,Digital Elevation Model Data,dataset-631
Использование цифровой модели рельефа речной долины при моделировании русловых процессов (на примере рек алтайского края),Интерэкспо Гео-Сибирь,http://cyberleninka.ru/article/n/ispolzovanie-tsifrovoy-modeli-reliefa-rechnoy-doliny-pri-modelirovanii-ruslovyh-protsessov-na-primere-rek-altayskogo-kraya,"Шибких, А.",,Digital Elevation Model Data,dataset-631
European Digital Elevation Model Validation against Extensive Global Navigation Satellite Systems Data and Comparison with SRTM DEM and ASTER GDEM in Central Macedonia (Greece),ISPRS International Journal of Geo-Information,http://dx.doi.org/10.3390/ijgi8030108,"Mouratidis, Antonios, Ampatzidis, Dimitrios",10.3390/ijgi8030108,Digital Elevation Model Data,dataset-631
Digital elevation models of TanDEM-X mission,Biuletyn Wojskowej Akademii Technicznej,http://biuletynwat.pl/icid/1145420,Małgorzata Woroszkiewicz,10.5604/12345865.1145420,Digital Elevation Model Data,dataset-631
High-Fidelity Inhomogeneous Ground Clutter Simulation of Airborne Phased Array PD Radar Aided by Digital Elevation Model and Digital Land Classification Data,Sensors,https://doaj.org/toc/1424-8220,"Li, Hai, Wang, Jie, Fan, Yi, Han, Jungong",10.3390/s18092925,Digital Elevation Model Data,dataset-631
